Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
ganchos-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/Sb6834b3e97bc48e1aa57c2707a4b9184B.jpg,5,Ganchos Jarandana — Ganchos adhesivos de acero para toalla,
kit-fregadero-jarandana,Kit Fregadero Jarandana — Dispensador de jabón de pulsar con esponjero,"<p><strong>Un toque: jabón en la esponja. Y la esponja, en su sitio.</strong></p><p>Dispensador de lavavajillas de pulsar con soporte para la esponja. Presionas la esponja sobre la tapa y sale la cantidad justa de jabón.</p><ul><li><strong>Capacidad:</strong> 300 ml (jabón no incluido).</li><li><strong>Medidas:</strong> aprox. 14,5 x 10 x 8,6 cm.</li><li>Adiós al bote pringoso junto al grifo.</li></ul><p><strong>Envío:</strong> con seguimiento. Plazo estimado: 7-15 días laborables.</p>",jarandana,Cocina,"fregadero, cocina, proveedor:aliexpress-1005006997228432",FALSE,Color,Negro,JAR-FREGADERO-NEGRO,deny,manual,19.90,TRUE,TRUE,https://ae01.alicdn.com/kf/S3b9129c1fa8540c29a9203623ad8771bQ.jpg,1,Kit Fregadero Jarandana — Dispensador de jabón de pulsar con esponjero,draft
kit-fregadero-jarandana,,,,,,,,Blanco,JAR-FREGADERO-BLANCO,deny,manual,19.90,TRUE,TRUE,https://ae01.alicdn.com/kf/S2cd913a67ad240c782719d63e17bda59q.jpg,2,Kit Fregadero Jarandana — Dispensador de jabón de pulsar con esponjero,
kit-fregadero-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/Sde3bb93478904971bdf2a5dab84323f6x.jpg,3,Kit Fregadero Jarandana — Dispensador de jabón de pulsar con esponjero,
kit-fregadero-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/S084164bee14144bc84e471a8fb014b59C.jpg,4,Kit Fregadero Jarandana — Dispensador de jabón de pulsar con esponjero,
kit-fregadero-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/S35056f6706bf45b9bd65ee74587fdac0p.jpg,5,Kit Fregadero Jarandana — Dispensador de jabón de pulsar con esponjero,
esquinera-doble-jarandana,Esquinera Doble Jarandana — Estantería de esquina de 2 alturas sin taladrar,"<p><strong>La esquina que no sabías que tenías.</strong></p><p>Estantería triangular de dos alturas en acero inoxidable para la esquina de la ducha, instalada sin taladro.</p><ul><li><strong>Dos alturas:</strong> sitio para los botes de toda la casa.</li><li><strong>Acero inoxidable</strong> pensado para la humedad.</li><li><strong>Sin agujeros:</strong> se fija con adhesivo en azulejo liso.</li></ul><h3>Cómo se instala</h3><ol><li>Limpia y seca bien la esquina.</li><li>Pega y presiona.</li><li><strong>Espera 24 h</strong> antes de cargarla.</li></ol><p><strong>Envío:</strong> con seguimiento. Plazo estimado: 7-15 días laborables.</p>",jarandana,Baño,"ducha, sin-taladrar, premium, proveedor:aliexpress-1005008539345371",FALSE,Color,Blanco,JAR-ESQUINERA-BLANCO,deny,manual,39.90,TRUE,TRUE,https://ae01.alicdn.com/kf/S476f7cfb65484c57bdce1099f4fa92676.jpg,1,Esquinera Doble Jarandana — Estantería de esquina de 2 alturas sin taladrar,draft
esquinera-doble-jarandana,,,,,,,,Negro,JAR-ESQUINERA-NEGRO,deny,manual,39.90,TRUE,TRUE,https://ae01.alicdn.com/kf/S76dbebb03f4b4319bc40994d56b81d05b.jpg,2,Esquinera Doble Jarandana — Estantería de esquina de 2 alturas sin taladrar,
esquinera-doble-jarandana,,,,,,,,Plata,JAR-ESQUINERA-PLATA,deny,manual,39.90,TRUE,TRUE,https://ae01.alicdn.com/kf/S80256a4fac154ea3b93fdfd8a0306a62O.jpg,3,Esquinera Doble Jarandana — Estantería de esquina de 2 alturas sin taladrar,
esquinera-doble-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/S052c72de72c747f7bb5ac0630313dc3fe.jpg,4,Esquinera Doble Jarandana — Estantería de esquina de 2 alturas sin taladrar,
esquinera-doble-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/Sab1249921a564f8c971f364cccc0ccabM.jpg,5,Esquinera Doble Jarandana — Estantería de esquina de 2 alturas sin taladrar,
esquinera-doble-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/S786e96612cca4ea6adbd600abf8edcbb2.jpg,6,Esquinera Doble Jarandana — Estantería de esquina de 2 alturas sin taladrar,
bayetas-jarandana,Bayetas Jarandana — Bayetas de microfibra gruesa para cristal y grifos,"<p><strong>Grifos y cristales que brillan con agua y una pasada.</strong></p><p>Bayetas de microfibra gruesa que absorben el agua y no dejan pelusa. Perfectas para secar la mampara, el espejo y los grifos.</p><ul><li><strong>Sin pelusa</strong> en cristal y espejos.</li><li><strong>Lavables</strong> y reutilizables.</li><li>Tamaño 30 x 30 cm.</li></ul><p><strong>Envío:</strong> con seguimiento. Plazo estimado: 7-15 días laborables.</p>",jarandana,Limpieza,"bayetas, recompra, cristal, proveedor:aliexpress-1005005911753573",FALSE,Pack,8 bayetas,JAR-BAYETAS-8,deny,manual,12.90,TRUE,TRUE,https://ae01.alicdn.com/kf/Sa152486152da4ab08c33a57ebd0a23c9S.jpg,1,Bayetas Jarandana — Bayetas de microfibra gruesa para cristal y grifos,draft
bayetas-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/S57a6334cdc27488794e1b15696aadb854.jpg,2,Bayetas Jarandana — Bayetas de microfibra gruesa para cristal y grifos,
bayetas-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/S82845e71d9d943fb87f80ee9abad68acc.jpg,3,Bayetas Jarandana — Bayetas de microfibra gruesa para cristal y grifos,
bayetas-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/Sa0ca4d5ed2304e42993e0c3664d0df50F.jpg,4,Bayetas Jarandana — Bayetas de microfibra gruesa para cristal y grifos,
recambio-adhesivos-jarandana,Recambio de Adhesivos Jarandana — Cinta doble cara reutilizable 3 m,"<p><strong>Te mudas. Tus cosas también.</strong></p><p>Cinta transparente de doble cara, reutilizable y lavable, para volver a fijar baldas y ganchos al cambiar de sitio o de casa.</p><ul><li>Rollo de 3 m x 30 mm, 1 mm de grosor.</li><li>Se recorta a medida.</li><li>Para superficies lisas y no porosas.</li></ul><p><em>Para objetos pesados, respeta las 24 h de secado.</em></p><p><strong>Envío:</strong> con seguimiento. Plazo estimado: 10-18 días laborables.</p>",jarandana,Recambios,"recambio, mudanza, sin-taladrar, proveedor:aliexpress-1005004896437481",FALSE,Title,Default Title,JAR-RECAMBIO-3M,deny,manual,7.90,TRUE,TRUE,https://ae01.alicdn.com/kf/Sb17cfc54e02c4d07928d457ecbd17b34D.jpg,1,Recambio de Adhesivos Jarandana — Cinta doble cara reutilizable 3 m,draft
recambio-adhesivos-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/S0198db1c833a463aad6aa29f9fcb039d6.jpg,2,Recambio de Adhesivos Jarandana — Cinta doble cara reutilizable 3 m,
recambio-adhesivos-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/S7e5099c7331d40cd8400983394b9cec5k.jpg,3,Recambio de Adhesivos Jarandana — Cinta doble cara reutilizable 3 m,
recambio-adhesivos-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/S806fb2dc473a44bb9b1f32c7f6d9f841j.jpg,4,Recambio de Adhesivos Jarandana — Cinta doble cara reutilizable 3 m,
